#name	freq	kmpr	ikmpr	df	doodson1	doodson2	doodson3	doodson4	doodson5	doodson6	semi	isat	nsat	ishallow	nshallow	doodsonamp	doodsonspecies
ST38	0.086358	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000000	3.000000	NaN	NaN
SKM2	0.086383	--   	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000000	3.000000	NaN	NaN
2SN2	0.087667	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000000	2.000000	NaN	NaN
NO3 	0.117730	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000000	2.000000	NaN	NaN
MO3 	0.119242	M3  	69.000000	0.001525	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000000	2.000000	NaN	NaN
M3  	0.120767	M2  	48.000000	0.040256	3.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.500000	162.000000	1.000000	NaN	NaN	-0.011880	3.000000
NK3 	0.120780	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000000	2.000000	NaN	NaN
SO3 	0.122064	MK3 	72.000000	0.000228	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000000	2.000000	NaN	NaN
MK3 	0.122292	M3  	69.000000	0.001525	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000000	2.000000	NaN	NaN
SP3 	0.124886	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000000	2.000000	NaN	NaN
SK3 	0.125114	MK3 	72.000000	0.002822	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000000	2.000000	NaN	NaN
ST8 	0.156689	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000000	3.000000	NaN	NaN
N4  	0.157998	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000000	1.000000	NaN	NaN
3MS4	0.158201	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000000	2.000000	NaN	NaN
ST39	0.159282	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000000	4.000000	NaN	NaN
MN4 	0.159511	M4  	82.000000	0.001512	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000000	2.000000	NaN	NaN
ST9 	0.159739	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000000	4.000000	NaN	NaN
ST40	0.160795	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000000	3.000000	NaN	NaN
M4  	0.161023	M3  	69.000000	0.040256	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000000	1.000000	NaN	NaN
ST10	0.161251	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000000	3.000000	NaN	NaN
SN4 	0.162333	M4  	82.000000	0.001310	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000000	2.000000	NaN	NaN
KN4 	0.162561	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000000	2.000000	NaN	NaN
MS4 	0.163845	M4  	82.000000	0.002822	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000000	2.000000	NaN	NaN
MK4 	0.164073	MS4 	86.000000	0.000228	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	103.000000	2.000000	NaN	NaN
SL4 	0.165357	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	105.000000	2.000000	NaN	NaN
S4  	0.166667	MS4 	86.000000	0.002822	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	107.000000	1.000000	NaN	NaN
SK4 	0.166895	S4  	89.000000	0.000228	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	108.000000	2.000000	NaN	NaN
MNO5	0.198241	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	110.000000	3.000000	NaN	NaN
2MO5	0.199753	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	113.000000	2.000000	NaN	NaN
3MP5	0.199982	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	115.000000	2.000000	NaN	NaN
MNK5	0.201291	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	117.000000	3.000000	NaN	NaN
2MP5	0.202575	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	120.000000	2.000000	NaN	NaN
